Power
t(s)	P(W)
 7.133789063e-009	1.441565508e+012
 7.143554688e-009	1.441885979e+012
 7.153320313e-009	1.442059256e+012
 7.163085938e-009	1.442092548e+012
 7.172851563e-009	1.441985855e+012
 7.182617187e-009	1.441740489e+012
 7.192382812e-009	1.441360642e+012
 7.202148438e-009	1.440848413e+012
 7.211914063e-009	1.440204587e+012
 7.221679688e-009	1.439434015e+012
 7.231445313e-009	1.438537482e+012
 7.241210938e-009	1.437518004e+012
 7.250976563e-009	1.436377547e+012
 7.260742188e-009	1.435119124e+012
 7.270507812e-009	1.433744441e+012
 7.280273437e-009	1.432255857e+012
 7.290039063e-009	1.430655861e+012
 7.299804688e-009	1.428948648e+012
 7.309570313e-009	1.42713317e+012
 7.319335938e-009	1.425213882e+012
 7.329101563e-009	1.423191835e+012
 7.338867188e-009	1.421070565e+012
 7.348632813e-009	1.418852041e+012
 7.358398437e-009	1.416537571e+012
 7.368164062e-009	1.414130434e+012
 7.377929688e-009	1.411631415e+012
 7.387695313e-009	1.409043137e+012
 7.397460938e-009	1.406368612e+012
 7.407226563e-009	1.403607843e+012
 7.416992188e-009	1.400764105e+012
 7.426757813e-009	1.397839233e+012
 7.436523437e-009	1.394835194e+012
 7.446289062e-009	1.391752905e+012
 7.456054688e-009	1.38859407e+012
 7.465820313e-009	1.385360523e+012
 7.475585938e-009	1.382055936e+012
 7.485351563e-009	1.378680308e+012
 7.495117188e-009	1.375233901e+012
 7.504882813e-009	1.371719467e+012
 7.514648438e-009	1.368138187e+012
 7.524414062e-009	1.364491502e+012
 7.534179687e-009	1.36078046e+012
 7.543945312e-009	1.357007028e+012
 7.553710937e-009	1.353169895e+012
 7.563476562e-009	1.349273518e+012
 7.573242187e-009	1.345315275e+012
 7.583007812e-009	1.341298049e+012
 7.592773438e-009	1.337222889e+012
 7.602539063e-009	1.333088616e+012
 7.612304688e-009	1.328898114e+012
 7.622070313e-009	1.32464889e+012
 7.631835938e-009	1.320343831e+012
 7.641601563e-009	1.315982017e+012
 7.651367188e-009	1.311564235e+012
 7.661132813e-009	1.307089306e+012
 7.670898438e-009	1.302556967e+012
 7.680664063e-009	1.297968136e+012
 7.690429688e-009	1.293322027e+012
 7.700195312e-009	1.288617066e+012
 7.709960937e-009	1.283853517e+012
 7.719726562e-009	1.279029412e+012
 7.729492187e-009	1.274145407e+012
 7.739257812e-009	1.269198619e+012
 7.749023437e-009	1.264187081e+012
 7.758789063e-009	1.259110138e+012
 7.768554688e-009	1.25396661e+012
 7.778320313e-009	1.248752566e+012
 7.788085938e-009	1.243467219e+012
 7.797851563e-009	1.238105719e+012
 7.807617188e-009	1.232667017e+012
 7.817382813e-009	1.227147444e+012
 7.827148438e-009	1.221542937e+012
 7.836914063e-009	1.21585048e+012
 7.846679688e-009	1.210064699e+012
 7.856445313e-009	1.204182188e+012
 7.866210938e-009	1.198195999e+012
 7.875976562e-009	1.192103248e+012
 7.885742187e-009	1.185896464e+012
 7.895507812e-009	1.179570012e+012
 7.905273437e-009	1.173116158e+012
 7.915039062e-009	1.166529004e+012
 7.924804687e-009	1.159798587e+012
 7.934570313e-009	1.152917701e+012
 7.944335938e-009	1.145877168e+012
 7.954101563e-009	1.13866598e+012
 7.963867188e-009	1.131274568e+012
 7.973632813e-009	1.123689955e+012
 7.983398438e-009	1.115901526e+012
 7.993164063e-009	1.107895517e+012
 8.002929688e-009	1.099656069e+012
 8.012695313e-009	1.091169288e+012
 8.022460938e-009	1.082417152e+012
 8.032226563e-009	1.073384391e+012
 8.041992187e-009	1.064049574e+012
 8.051757812e-009	1.054392844e+012
 8.061523437e-009	1.044392182e+012
 8.071289062e-009	1.034023404e+012
 8.081054687e-009	1.02326023e+012
 8.090820312e-009	1.012075659e+012
